Year,Period,Area,Income Source,Income Type,Income
"2022","Annual","Alameda County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$97,754"
"2021","Annual","Alameda County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$98,657"
"2020","Annual","Alameda County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$87,561"
"2019","Annual","Alameda County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$79,878"
"2018","Annual","Alameda County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$74,193"
"2017","Annual","Alameda County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$69,258"
"2016","Annual","Alameda County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$65,215"
"2015","Annual","Alameda County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$61,618"
"2014","Annual","Alameda County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$37,285"
"2013","Annual","Alameda County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$55,338"
"2012","Annual","Alameda County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$54,379"
"2011","Annual","Alameda County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$49,617"
"2010","Annual","Alameda County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$48,087"
"2009","Annual","Alameda County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$48,004"
"2008","Annual","Alameda County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$50,206"
"2007","Annual","Alameda County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$48,679"
"2006","Annual","Alameda County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$46,414"
"2005","Annual","Alameda County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$43,074"
"2004","Annual","Alameda County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$41,083"
"2003","Annual","Alameda County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$38,835"
"2002","Annual","Alameda County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$37,839"
"2001","Annual","Alameda County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$38,187"
"2000","Annual","Alameda County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$38,466"
"1999","Annual","Alameda County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$33,856"
"1998","Annual","Alameda County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$31,574"
"1997","Annual","Alameda County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$29,459"
"1996","Annual","Alameda County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$28,029"
"1995","Annual","Alameda County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$26,473"
"1994","Annual","Alameda County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$25,080"
"1993","Annual","Alameda County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$24,307"
"1992","Annual","Alameda County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$23,865"
"1991","Annual","Alameda County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$22,627"
"1990","Annual","Alameda County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$22,699"
"1989","Annual","Alameda County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$21,620"
"1988","Annual","Alameda County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$20,450"
"1987","Annual","Alameda County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$19,253"
"1986","Annual","Alameda County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$18,404"
"1985","Annual","Alameda County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$17,736"
"1984","Annual","Alameda County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$16,574"
"1983","Annual","Alameda County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$15,036"
"1982","Annual","Alameda County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$14,071"
"1981","Annual","Alameda County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$13,390"
"1980","Annual","Alameda County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$12,070"
"1979","Annual","Alameda County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$10,823"
"1978","Annual","Alameda County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$9,656"
"1977","Annual","Alameda County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$8,644"
"1976","Annual","Alameda County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$7,917"
"1975","Annual","Alameda County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$7,186"
"1974","Annual","Alameda County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$6,526"
"1973","Annual","Alameda County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$5,930"
"1972","Annual","Alameda County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$5,483"
"1971","Annual","Alameda County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$5,123"
"1970","Annual","Alameda County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$4,884"
"1969","Annual","Alameda County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$4,563"
