Year,Period,Area,Income Source,Income Type,Income
"2022","Annual","San Joaquin County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$54,183"
"2021","Annual","San Joaquin County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$55,827"
"2020","Annual","San Joaquin County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$51,317"
"2019","Annual","San Joaquin County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$45,239"
"2018","Annual","San Joaquin County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$42,320"
"2017","Annual","San Joaquin County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$40,888"
"2016","Annual","San Joaquin County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$39,777"
"2015","Annual","San Joaquin County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$38,463"
"2014","Annual","San Joaquin County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$22,645"
"2013","Annual","San Joaquin County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$34,755"
"2012","Annual","San Joaquin County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$33,777"
"2011","Annual","San Joaquin County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$31,013"
"2010","Annual","San Joaquin County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$30,732"
"2009","Annual","San Joaquin County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$31,071"
"2008","Annual","San Joaquin County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$31,584"
"2007","Annual","San Joaquin County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$28,739"
"2006","Annual","San Joaquin County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$27,615"
"2005","Annual","San Joaquin County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$26,209"
"2004","Annual","San Joaquin County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$25,785"
"2003","Annual","San Joaquin County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$24,883"
"2002","Annual","San Joaquin County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$24,290"
"2001","Annual","San Joaquin County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$24,154"
"2000","Annual","San Joaquin County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$24,219"
"1999","Annual","San Joaquin County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$22,867"
"1998","Annual","San Joaquin County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$21,952"
"1997","Annual","San Joaquin County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$21,071"
"1996","Annual","San Joaquin County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$19,995"
"1995","Annual","San Joaquin County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$19,249"
"1994","Annual","San Joaquin County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$18,850"
"1993","Annual","San Joaquin County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$18,365"
"1992","Annual","San Joaquin County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$17,891"
"1991","Annual","San Joaquin County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$17,064"
"1990","Annual","San Joaquin County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$16,804"
"1989","Annual","San Joaquin County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$16,332"
"1988","Annual","San Joaquin County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$15,368"
"1987","Annual","San Joaquin County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$14,671"
"1986","Annual","San Joaquin County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$13,963"
"1985","Annual","San Joaquin County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$13,467"
"1984","Annual","San Joaquin County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$12,903"
"1983","Annual","San Joaquin County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$11,786"
"1982","Annual","San Joaquin County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$11,541"
"1981","Annual","San Joaquin County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$11,237"
"1980","Annual","San Joaquin County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$10,512"
"1979","Annual","San Joaquin County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$9,544"
"1978","Annual","San Joaquin County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$8,526"
"1977","Annual","San Joaquin County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$7,854"
"1976","Annual","San Joaquin County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$7,166"
"1975","Annual","San Joaquin County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$6,699"
"1974","Annual","San Joaquin County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$6,153"
"1973","Annual","San Joaquin County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$5,457"
"1972","Annual","San Joaquin County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$4,916"
"1971","Annual","San Joaquin County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$4,537"
"1970","Annual","San Joaquin County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$4,257"
"1969","Annual","San Joaquin County","U.S. BEA - Local Data","Per Capita Personal Income - BEA","$4,042"
